timeframe,family,variant,n_members,n_trades,cagr,ann_vol,mean_member_corr,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,n_obs,is_pf,oos_pf,is_sharpe,oos_sharpe,oos_trades,cost_R_mean,ftmo_pass_rate,dsr,oos_holds
H4,trend,0,6,2907,-0.014661389232872413,0.04123264143498576,0.13740762151755556,1.013709499004022,0.9544722442866217,-0.2705364715378615,0.5707202302741671,3.5471767178387705,0.1593577305051263,2472,0.947453447590945,0.9652623707502151,-0.3038486255861932,-0.2154630555317508,1140,0.028299193713117985,0.0,0.0002690245004891951,False
H4,trend,1,6,2213,-0.013320592436609324,0.03483035220381764,0.1119294202279893,0.9951652283181646,0.9490564526777944,-0.29550722310371547,0.2819966274581115,2.9375296779464644,0.15146592377234852,2472,0.9437879096046894,0.9571431824744764,-0.3170045753013209,-0.2598726540988267,867,0.02408419420602441,0.0,0.0001950428381312514,False
H4,trend,2,6,2321,-0.0031643754038491734,0.04241611631123386,0.11182272206216583,1.0333153082223756,0.9923939151360929,-0.03958299141495709,1.439322910937325,6.846329444713778,0.10200640290398923,2472,0.9575564797606536,1.0445100252457278,-0.22030959183269938,0.23298768765896316,917,0.022076929032712387,0.0017730496453900709,0.0029775194761635536,False
H4,macross,0,6,1154,0.019402619912336716,0.028860057878045995,0.07640285053128844,1.191532263642186,1.1392800176964573,0.5553799187891257,1.5773820335250366,8.39755584199428,0.10469526246545402,2467,1.0720775546507122,1.2453878678319383,0.28810216394858584,0.9754556022232033,456,0.026706239369181026,0.0,0.18010379825048395,True
H4,macross,1,6,784,0.010494420582578101,0.024154351056154204,0.06405154155160812,1.153056620900406,1.1041713474111756,0.36321763128491186,1.857889615749722,11.192407533528275,0.05547856717439544,2466,1.0599778313981079,1.1708538817734029,0.2023805702596257,0.6270755432707378,316,0.026778899469603195,0.0,0.06385581960268155,True
H4,macross,2,6,1440,0.039652308805570025,0.04057656891360724,0.07741749332919202,1.2607821855806987,1.1958689774241822,0.7992825612078571,2.186233318430698,9.995133863683147,0.07847676850540229,2469,1.1760995058110784,1.2245189076887422,0.7001282555249322,0.9532793117282072,577,0.03591715901177654,0.0,0.4463549306995501,True
H8,trend,0,6,1477,-0.006321899070594994,0.028014208845463708,0.10401242568668025,1.0013958826261733,0.962343550362593,-0.1700225272407843,0.7182949365951042,5.764432265022467,0.10884461694955412,2470,0.8943675669877771,1.0738761111118091,-0.4877671968170324,0.32224175596960497,585,0.019004928923640373,0.0,0.0008163184630957608,False
H8,trend,1,6,1160,-0.0033787113270559166,0.024540157557992444,0.09686019437472765,1.0100147735880005,0.9767097667901788,-0.09977667610264224,0.287996331308172,5.994323194395402,0.09444767473863448,2468,0.9296711368730558,1.0544565761347984,-0.30818475898054026,0.2251097820622716,456,0.017145425700264196,0.0,0.0016486660893870041,False
H8,trend,2,6,1210,-0.006546379694924442,0.029826902190091282,0.10607579270741033,0.9843906478692451,0.9581901430768611,-0.16395460819700924,1.8823782576593229,13.545691065292097,0.13789417150971348,2462,0.92693739825151,1.0037727755488721,-0.28149903479207583,0.015203831571488684,487,0.014754796445641432,0.0,0.0009428683175597079,False
H8,macross,0,6,590,0.011140049232319704,0.020296428493543114,0.08267631390068281,1.1995339148899464,1.1632755517669693,0.4533853868381726,2.4937197736722547,22.55620546176766,0.033836509569909544,2463,1.0598883029275414,1.3298487833858248,0.1625616095775018,0.9520049913717685,234,0.017315027589393805,0.0,0.10544246511156607,True
H8,macross,1,6,423,0.00965584303620104,0.01737884539759866,0.04256754628537738,1.2114638749153446,1.177314618204773,0.4575875484266767,2.624719444759019,21.368162824200798,0.03289730517678026,2456,1.1604140878956553,1.2046328801913386,0.4066925129394336,0.5438236893001359,164,0.01776263042647921,0.0,0.10770437444407643,True
H8,macross,2,6,742,0.025690735943760812,0.02879315324410925,0.079214769037193,1.3041634972910794,1.2577186386734183,0.7301856867910733,3.480253473345674,27.205469709924863,0.035952511074988085,2465,1.118914410212123,1.4858143506803883,0.34216231444162953,1.3441389430737027,291,0.023638150457475998,0.0,0.3550538315981481,True
D1,trend,0,6,549,0.0051891987496566205,0.016296330687307625,0.05971857491470193,1.1289216033610596,1.0957770043785273,0.26607348995472735,1.1386231769971051,13.707255831431254,0.055511383917491795,2462,0.8671265331080962,1.5577559246887231,-0.4149399810215507,1.2744601004024345,214,0.014493576945197076,0.0,0.035102353790768016,False
D1,trend,1,6,450,0.0007462591030840127,0.014669760707407652,0.06391538014181707,1.043844091307468,1.0176461119250202,0.048627466227412715,0.48159332406187927,18.960409952444707,0.062093488410686716,2462,0.8466156964488116,1.3558550481900726,-0.4677677604827507,0.8265171743562483,176,0.01304059910317272,0.0,0.006649382271302191,False
D1,trend,2,6,432,0.001456494397125585,0.016514629756139647,0.04611668762986488,1.0538375599530763,1.031749217433102,0.07981375926808172,2.214947679807792,23.099736336534868,0.06645737313200642,2462,0.767887155995834,1.5184877727645774,-0.6619478746073229,1.0839087222429242,171,0.011715994274577896,0.0,0.008433942741403027,False
D1,macross,0,6,206,0.005505135917358128,0.01069202817196878,0.024130404975470997,1.267137201406229,1.2349975024997677,0.42223093266505585,2.7819417989255153,28.22604752217138,0.021848326533361374,2455,1.4040679562541742,0.9796543887754974,0.7002781551208396,-0.038714195887743226,79,0.013892069704752557,0.0,0.08826870472255427,False
D1,macross,1,6,157,-0.0030139745784074634,0.009720395447313474,0.02390722968655828,0.8909019730124698,0.8715537792367929,-0.247121006792683,2.0251571138422646,31.014683126261552,0.055752830492874474,2442,0.7794821710475837,1.0256609466812336,-0.4397806585658739,0.04668273025898955,61,0.01332526186049284,0.0,0.00043557817160871226,False
D1,macross,2,6,259,0.0076320758967871605,0.015513434562228857,0.046533827523939995,1.2576608700075667,1.2208828117356423,0.4056473685874951,4.934915601772076,51.206878185238295,0.0254408249987799,2455,1.2737203877402308,1.1383078865434033,0.4982836755054199,0.2574564456632007,104,0.01854810434147586,0.0,0.07444988628613068,True
