instrument,timeframe,family,variant,sharpe,n_obs,dsr_old,dsr_se_fixed,dsr_structural,dsr_floor,z_structural,e_max_structural,se_ann
NAS100,H4,macross,0,0.6685644328947276,2004,0.0,1.8308300298268545e-73,0.22724661942306645,0.35200136572619606,-0.7479451560918593,0.9211001219791455,0.33763931356138444
US30,H4,macross,2,0.5591463865075629,1884,0.0,3.821190644944751e-73,0.14667836333935735,0.24508102714876123,-1.0507863493049499,0.9211001219791455,0.34445987589294386
US30,H1,macross,1,0.5096141768386798,1913,0.0,1.9880418942085907e-69,0.12431120230546266,0.21031989197191725,-1.1537019001853344,0.9211001219791455,0.35666574274894
NAS100,H4,macross,2,0.4750501079171481,2004,0.0,4.2314862938201176e-78,0.09316702748393746,0.17020302888663208,-1.3215019433742954,0.9211001219791455,0.3375326205900709
NAS100,H1,macross,2,0.4498692493209309,1994,0.0,1.1823439045799519e-73,0.08863345772682635,0.16024707323249665,-1.349218122613272,0.9211001219791455,0.3492621873070438
NAS100,H4,macross,1,0.4424658625617274,1997,0.0,6.13888537031252e-78,0.07938176262702423,0.14838449486934668,-1.4092423290110068,0.9211001219791455,0.33963942862354923
NAS100,H1,macross,1,0.4417026076158308,1996,0.0,3.125503930615467e-73,0.08584753505079024,0.1556467425331579,-1.366777459224413,0.9211001219791455,0.3507502345227086
US30,H4,breakout,2,0.3998473243178564,1916,0.0,4.441897187176615e-71,0.07299767046098883,0.13409214874601877,-1.4538231592551139,0.9211001219791455,0.3585393411454252
US30,H4,macross,1,0.3910383539810704,1885,0.0,7.388482042928401e-74,0.06605585233805403,0.12449095656679726,-1.505826554311514,0.9211001219791455,0.352007186007174
NAS100,H1,macross,0,0.3433422949537575,1994,0.0,7.816354876792554e-75,0.050481359190388965,0.09896975091196863,-1.640204190208866,0.9211001219791455,0.3522475009357314
US30,H4,macross,0,0.3264677412176411,1884,0.0,2.1567406690755458e-73,0.04776539679672545,0.0936537704600684,-1.6669175855731118,0.9211001219791455,0.3567257229199251
US30,H4,trend,1,0.2907300219495994,1907,0.0,8.771887586578278e-73,0.04007369698133676,0.08002491726720068,-1.7498314971524755,0.9211001219791455,0.3602461728774204
NAS100,H4,trend,1,0.2635670201661848,1998,0.0,1.1428860989088724e-76,0.03095391705350403,0.0649947701575104,-1.8669552730488552,0.9211001219791455,0.35219542283900984
US30,H4,momentum,1,0.2214763252925513,1897,0.0,1.9123718660226944e-74,0.025945856782158765,0.0549374772819854,-1.9440309946880534,0.9211001219791455,0.3598830464114377
NAS100,H1,momentum,1,0.2115495136857167,2007,0.0,2.0985475100359288e-77,0.02229297198510602,0.04878017251653574,-2.0085399616936495,0.9211001219791455,0.3532668614146559
